zip,city,state_id,state_name,population,prob
01440,Gardner,MA,Massachusetts,21311,0.00006397390000
01450,Groton,MA,Massachusetts,11220,0.00003368150000
01451,Harvard,MA,Massachusetts,5069,0.00001521670000
01452,Hubbardston,MA,Massachusetts,4341,0.00001303130000
01453,Leominster,MA,Massachusetts,43478,0.00013051700000
01460,Littleton,MA,Massachusetts,10066,0.00003021730000
01462,Lunenburg,MA,Massachusetts,11658,0.00003499640000
01463,Pepperell,MA,Massachusetts,11709,0.00003514950000
01464,Shirley,MA,Massachusetts,7402,0.00002222020000
01468,Templeton,MA,Massachusetts,4058,0.00001218180000
01469,Townsend,MA,Massachusetts,7482,0.00002246040000
01473,Westminster,MA,Massachusetts,8151,0.00002446870000
01474,West Townsend,MA,Massachusetts,1665,0.00000499820000
01475,Winchendon,MA,Massachusetts,10292,0.00003089580000
01501,Auburn,MA,Massachusetts,16686,0.00005009000000
01503,Berlin,MA,Massachusetts,3328,0.00000999039000
01504,Blackstone,MA,Massachusetts,9191,0.00002759070000
01505,Boylston,MA,Massachusetts,4813,0.00001444820000
01506,Brookfield,MA,Massachusetts,3435,0.00001031160000
01507,Charlton,MA,Massachusetts,13314,0.00003996760000
01510,Clinton,MA,Massachusetts,15221,0.00004569220000
01515,East Brookfield,MA,Massachusetts,2043,0.00000613292000
01516,Douglas,MA,Massachusetts,9188,0.00002758160000
01518,Fiskdale,MA,Massachusetts,3301,0.00000990934000
01519,Grafton,MA,Massachusetts,7627,0.00002289560000
01520,Holden,MA,Massachusetts,16755,0.00005029720000
01521,Holland,MA,Massachusetts,2593,0.00000778398000
01522,Jefferson,MA,Massachusetts,2909,0.00000873259000
01523,Lancaster,MA,Massachusetts,8361,0.00002509910000
01524,Leicester,MA,Massachusetts,6297,0.00001890310000
01525,Linwood,MA,Massachusetts,33,0.00000009906340
01527,Millbury,MA,Massachusetts,13827,0.00004150760000
01529,Millville,MA,Massachusetts,3166,0.00000950408000
01531,New Braintree,MA,Massachusetts,1052,0.00000315802000
01532,Northborough,MA,Massachusetts,15607,0.00004685100000
01534,Northbridge,MA,Massachusetts,6172,0.00001852790000
01535,North Brookfield,MA,Massachusetts,4758,0.00001428310000
01536,North Grafton,MA,Massachusetts,7144,0.00002144570000
01537,North Oxford,MA,Massachusetts,1775,0.00000532841000
01540,Oxford,MA,Massachusetts,11529,0.00003460910000
01541,Princeton,MA,Massachusetts,3503,0.00001051570000
01542,Rochdale,MA,Massachusetts,2668,0.00000800912000
01543,Rutland,MA,Massachusetts,8989,0.00002698430000
01545,Shrewsbury,MA,Massachusetts,38293,0.00011495300000
01550,Southbridge,MA,Massachusetts,17644,0.00005296590000
01560,South Grafton,MA,Massachusetts,4775,0.00001433420000
01561,South Lancaster,MA,Massachusetts,72,0.00000021613800
01562,Spencer,MA,Massachusetts,11964,0.00003591500000
01564,Sterling,MA,Massachusetts,8015,0.00002406040000
01566,Sturbridge,MA,Massachusetts,6510,0.00001954250000
01568,Upton,MA,Massachusetts,7827,0.00002349600000
01569,Uxbridge,MA,Massachusetts,13949,0.00004187380000
01570,Webster,MA,Massachusetts,17665,0.00005302890000
01571,Dudley,MA,Massachusetts,11890,0.00003569280000
01581,Westborough,MA,Massachusetts,21216,0.00006368870000
01583,West Boylston,MA,Massachusetts,7610,0.00002284460000
01585,West Brookfield,MA,Massachusetts,4865,0.00001460430000
01588,Whitinsville,MA,Massachusetts,10207,0.00003064060000
01590,Sutton,MA,Massachusetts,9222,0.00002768370000
01602,Worcester,MA,Massachusetts,26712,0.00008018730000
01603,Worcester,MA,Massachusetts,20184,0.00006059080000
01604,Worcester,MA,Massachusetts,40963,0.00012296800000
01605,Worcester,MA,Massachusetts,30354,0.00009112030000
01606,Worcester,MA,Massachusetts,22886,0.00006870200000
01607,Worcester,MA,Massachusetts,8837,0.00002652800000
01608,Worcester,MA,Massachusetts,4782,0.00001435520000
01609,Worcester,MA,Massachusetts,23511,0.00007057820000
01610,Worcester,MA,Massachusetts,26057,0.00007822100000
01611,Cherry Valley,MA,Massachusetts,2209,0.00000663124000
01612,Paxton,MA,Massachusetts,5007,0.00001503060000
01701,Framingham,MA,Massachusetts,33321,0.00010002700000
01702,Framingham,MA,Massachusetts,38842,0.00011660100000
01718,Acton,MA,Massachusetts,768,0.00000230547000
01719,Boxborough,MA,Massachusetts,5473,0.00001642950000
01720,Acton,MA,Massachusetts,23109,0.00006937140000
01721,Ashland,MA,Massachusetts,18646,0.00005597380000
01730,Bedford,MA,Massachusetts,14233,0.00004272630000
01731,Hanscom Afb,MA,Massachusetts,1920,0.00000576369000
01740,Bolton,MA,Massachusetts,5606,0.00001682880000
01741,Carlisle,MA,Massachusetts,5218,0.00001566400000
01742,Concord,MA,Massachusetts,18394,0.00005521730000
01745,Fayville,MA,Massachusetts,539,0.00000161804000
01746,Holliston,MA,Massachusetts,14387,0.00004318860000
01747,Hopedale,MA,Massachusetts,6015,0.00001805660000
01748,Hopkinton,MA,Massachusetts,18502,0.00005554150000
01749,Hudson,MA,Massachusetts,20034,0.00006014050000
01752,Marlborough,MA,Massachusetts,41505,0.00012459500000
01754,Maynard,MA,Massachusetts,10705,0.00003213560000
01756,Mendon,MA,Massachusetts,6215,0.00001865690000
01757,Milford,MA,Massachusetts,30296,0.00009094620000
01760,Natick,MA,Massachusetts,36354,0.00010913200000
01770,Sherborn,MA,Massachusetts,4407,0.00001322950000
01772,Southborough,MA,Massachusetts,9844,0.00002955090000
01773,Lincoln,MA,Massachusetts,5155,0.00001547490000
01775,Stow,MA,Massachusetts,7131,0.00002140670000
01776,Sudbury,MA,Massachusetts,18914,0.00005677830000
01778,Wayland,MA,Massachusetts,14063,0.00004221600000
01801,Woburn,MA,Massachusetts,40969,0.00012298600000
01803,Burlington,MA,Massachusetts,26237,0.00007876140000
01810,Andover,MA,Massachusetts,35600,0.00010686800000
01821,Billerica,MA,Massachusetts,31501,0.00009456350000
01824,Chelmsford,MA,Massachusetts,26574,0.00007977300000
01826,Dracut,MA,Massachusetts,32314,0.00009700410000
01827,Dunstable,MA,Massachusetts,3370,0.00001011650000
01830,Haverhill,MA,Massachusetts,27403,0.00008226160000
01832,Haverhill,MA,Massachusetts,25528,0.00007663300000
01833,Georgetown,MA,Massachusetts,8385,0.00002517110000
01834,Groveland,MA,Massachusetts,6740,0.00002023290000
01835,Haverhill,MA,Massachusetts,14165,0.00004252220000
01840,Lawrence,MA,Massachusetts,6814,0.00002045510000
01841,Lawrence,MA,Massachusetts,53183,0.00015965100000
01843,Lawrence,MA,Massachusetts,27806,0.00008347140000
01844,Methuen,MA,Massachusetts,52504,0.00015761300000
01845,North Andover,MA,Massachusetts,31396,0.00009424830000
01850,Lowell,MA,Massachusetts,16438,0.00004934560000
01851,Lowell,MA,Massachusetts,32470,0.00009747240000
01852,Lowell,MA,Massachusetts,36741,0.00011029400000
01854,Lowell,MA,Massachusetts,29159,0.00008753300000
01860,Merrimac,MA,Massachusetts,6698,0.00002010690000
01862,North Billerica,MA,Massachusetts,10721,0.00003218360000
01863,North Chelmsford,MA,Massachusetts,9700,0.00002911860000
01864,North Reading,MA,Massachusetts,15551,0.00004668290000
01867,Reading,MA,Massachusetts,25514,0.00007659100000
01876,Tewksbury,MA,Massachusetts,30933,0.00009285840000
01879,Tyngsboro,MA,Massachusetts,12454,0.00003738590000
01880,Wakefield,MA,Massachusetts,27179,0.00008158920000
01886,Westford,MA,Massachusetts,24536,0.00007365510000
01887,Wilmington,MA,Massachusetts,23313,0.00006998380000
01890,Winchester,MA,Massachusetts,22876,0.00006867190000
01901,Lynn,MA,Massachusetts,2293,0.00000688340000
01902,Lynn,MA,Massachusetts,51009,0.00015312500000
01904,Lynn,MA,Massachusetts,19915,0.00005978320000
01905,Lynn,MA,Massachusetts,26965,0.00008094680000
01906,Saugus,MA,Massachusetts,28521,0.00008561780000
01907,Swampscott,MA,Massachusetts,15186,0.00004558720000
01908,Nahant,MA,Massachusetts,3354,0.00001006840000
01913,Amesbury,MA,Massachusetts,17289,0.00005190020000
01915,Beverly,MA,Massachusetts,41547,0.00012472100000
01921,Boxford,MA,Massachusetts,8266,0.00002481390000
01922,Byfield,MA,Massachusetts,3929,0.00001179450000
01923,Danvers,MA,Massachusetts,27790,0.00008342340000
01929,Essex,MA,Massachusetts,3652,0.00001096300000
01930,Gloucester,MA,Massachusetts,29817,0.00008950830000
01937,Hathorne,MA,Massachusetts,179,0.00000053734400
01938,Ipswich,MA,Massachusetts,13743,0.00004125540000
01940,Lynnfield,MA,Massachusetts,13024,0.00003909700000
01944,Manchester,MA,Massachusetts,5382,0.00001615630000
01945,Marblehead,MA,Massachusetts,20400,0.00006123920000
01949,Middleton,MA,Massachusetts,9728,0.00002920270000
01950,Newburyport,MA,Massachusetts,18284,0.00005488710000
01951,Newbury,MA,Massachusetts,2817,0.00000845641000
01952,Salisbury,MA,Massachusetts,9155,0.00002748260000
01960,Peabody,MA,Massachusetts,54053,0.00016226300000
01965,Prides Crossing,MA,Massachusetts,904,0.00000271374000
01966,Rockport,MA,Massachusetts,7017,0.00002106450000
01969,Rowley,MA,Massachusetts,6135,0.00001841680000
01970,Salem,MA,Massachusetts,44375,0.00013321000000
01982,South Hamilton,MA,Massachusetts,7642,0.00002294070000
01983,Topsfield,MA,Massachusetts,6531,0.00001960550000
01984,Wenham,MA,Massachusetts,5006,0.00001502760000
01985,West Newbury,MA,Massachusetts,4500,0.00001350860000
02019,Bellingham,MA,Massachusetts,16936,0.00005084050000
02021,Canton,MA,Massachusetts,24124,0.00007241830000
02025,Cohasset,MA,Massachusetts,8297,0.00002490690000
02026,Dedham,MA,Massachusetts,25311,0.00007598160000
02030,Dover,MA,Massachusetts,5894,0.00001769330000
02032,East Walpole,MA,Massachusetts,4878,0.00001464340000
02035,Foxboro,MA,Massachusetts,18434,0.00005533740000
02038,Franklin,MA,Massachusetts,33058,0.00009923750000
02043,Hingham,MA,Massachusetts,24064,0.00007223820000
02045,Hull,MA,Massachusetts,10123,0.00003038840000
02047,Humarock,MA,Massachusetts,190,0.00000057036500
02048,Mansfield,MA,Massachusetts,23771,0.00007135870000
02050,Marshfield,MA,Massachusetts,25842,0.00007757560000
02052,Medfield,MA,Massachusetts,12776,0.00003835250000
02053,Medway,MA,Massachusetts,13613,0.00004086510000
02054,Millis,MA,Massachusetts,8481,0.00002545930000
02056,Norfolk,MA,Massachusetts,11532,0.00003461810000
02061,Norwell,MA,Massachusetts,11260,0.00003380160000
02062,Norwood,MA,Massachusetts,31257,0.00009383100000
02066,Scituate,MA,Massachusetts,18784,0.00005638810000
02067,Sharon,MA,Massachusetts,18477,0.00005546650000
02071,South Walpole,MA,Massachusetts,1249,0.00000374940000
02072,Stoughton,MA,Massachusetts,29029,0.00008714280000
